365,Machine Feeders and Offbearers
366,General and Operations Managers
367,Recreational Vehicle Service Technicians
368,Municipal Firefighters
369,Fire Inspectors
370,"Painters, Construction and Maintenance"
371,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
372,Helpers--Electricians
373,Food Batchmakers
374,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
375,Crane and Tower Operators
376,Regulatory Affairs Managers
377,"Paper Goods Machine Setters, Operators, and Tenders"
378,Statistical Assistants
379,Fiberglass Laminators and Fabricators
380,Precious Metal Workers
381,Biological Technicians
382,First-Line Supervisors of Logging Workers
383,Structural Iron and Steel Workers
384,Textile Bleaching and Dyeing Machine Operators and Tenders
385,Computer Programmers
386,First-Line Supervisors of Housekeeping and Janitorial Workers
387,Refuse and Recyclable Material Collectors
388,Interior Designers
389,Audiologists
390,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
391,"Potters, Manufacturing"
392,Recycling Coordinators
393,Microbiologists
394,Radiation Therapists
395,Medical and Clinical Laboratory Technologists
396,Cartographers and Photogrammetrists
397,Anesthesiologists
398,Electrical Power-Line Installers and Repairers
399,Adhesive Bonding Machine Operators and Tenders
400,Pathologists
401,Terrazzo Workers and Finishers
402,Automotive Glass Installers and Repairers
403,Home Appliance Repairers
404,Chemical Plant and System Operators
405,Loss Prevention Managers
406,Etchers and Engravers
407,Cargo and Freight Agents
408,Forest and Conservation Workers
409,Gaming Surveillance Officers and Gaming Investigators
410,Agricultural Inspectors
411,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
412,Quality Control Analysts
413,Tree Trimmers and Pruners
414,Urban and Regional Planners
415,"Geography Teachers, Postsecondary"
416,"Production, Planning, and Expediting Clerks"
417,Computer Operators
418,Dredge Operators
419,Radio and Television Announcers
420,Oral and Maxillofacial Surgeons
421,Embalmers
422,Fishers and Related Fishing Workers
423,"Insulation Workers, Mechanical"
424,Septic Tank Servicers and Sewer Pipe Cleaners
425,"Derrick Operators, Oil and Gas"
426,"Roustabouts, Oil and Gas"
427,"Refractory Materials Repairers, Except Brickmasons"
428,"Stone Cutters and Carvers, Manufacturing"
429,Nuclear Monitoring Technicians
430,Fabric and Apparel Patternmakers
431,Farm and Home Management Advisors
432,Chiropractors
433,Ophthalmic Medical Technologists
434,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
435,Risk Management Specialists
436,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
437,Regulatory Affairs Specialists
438,Zoologists and Wildlife Biologists
439,Geneticists
440,Medical and Clinical Laboratory Technicians
441,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
442,"Pilots, Ship"
443,"Tank Car, Truck, and Ship Loaders"
444,Distance Learning Coordinators
445,Respiratory Therapists
446,Diagnostic Medical Sonographers
447,"Coin, Vending, and Amusement Machine Servicers and Repairers"
448,"Buyers and Purchasing Agents, Farm Products"
449,Producers
450,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
451,"Property, Real Estate, and Community Association Managers"
452,Team Assemblers
453,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
454,Food Science Technicians
455,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
456,Desktop Publishers
457,Power Plant Operators
458,Online Merchants
459,Police Detectives
460,"Agricultural Sciences Teachers, Postsecondary"
461,Music Composers and Arrangers
462,Motion Picture Projectionists
463,Animal Breeders
464,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
465,Railroad Conductors and Yardmasters
466,Radio Operators
467,Exercise Physiologists
468,Locomotive Engineers
469,"Biological Science Teachers, Postsecondary"
470,Broadcast News Analysts
471,First-Line Supervisors of Animal Husbandry and Animal Care Workers
472,Air Traffic Controllers
473,Excavating and Loading Machine and Dragline Operators
474,Craft Artists
475,Hunters and Trappers
476,Mine Cutting and Channeling Machine Operators
477,Surgical Assistants
478,Stonemasons
479,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
480,"Sawing Machine Setters, Operators, and Tenders, Wood"
481,Emergency Medical Technicians and Paramedics
482,Fallers
483,"Rock Splitters, Quarry"
484,Allergists and Immunologists
485,Anesthesiologist Assistants
486,Bakers
487,"Meat, Poultry, and Fish Cutters and Trimmers"
488,"Secondary School Teachers, Except Special and Career/Technical Education"
489,"Fine Artists, Including Painters, Sculptors, and Illustrators"
490,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
491,"Railroad Brake, Signal, and Switch Operators"
492,Automotive and Watercraft Service Attendants
493,Forest Fire Inspectors and Prevention Specialists
494,Carpet Installers
495,Park Naturalists
496,Landscaping and Groundskeeping Workers
497,"Inspectors, Testers, Sorters, Samplers, and Weighers"
498,Fashion Designers
499,Neurologists
500,Nuclear Medicine Physicians
501,Surgical Technologists
502,Endoscopy Technicians
503,Police Identification and Records Officers
504,"Order Fillers, Wholesale and Retail Sales"
505,Rail Car Repairers
506,Cleaners of Vehicles and Equipment
507,Multimedia Artists and Animators
508,First-Line Supervisors of Police and Detectives
509,Medical Equipment Preparers
510,Laundry and Dry-Cleaning Workers
511,Coroners
512,Archeologists
513,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
514,Art Directors
515,"Sales Agents, Securities and Commodities"
516,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
517,Prepress Technicians and Workers
518,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
519,Tire Builders
520,Phlebotomists
521,Printing Press Operators
522,Fish and Game Wardens
523,Photographic Process Workers and Processing Machine Operators
524,"Education Administrators, Elementary and Secondary School"
525,Gaming Managers
526,Medical and Health Services Managers
527,"Opticians, Dispensing"
528,Hearing Aid Specialists
529,Bridge and Lock Tenders
